Task 0 ( 0/96, 0/6 ) is bound to cpu[s] 0 on host e26n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 55 ( 55/96, 1/6 ) is bound to cpu[s] 4 on host e27n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 56 ( 56/96, 2/6 ) is bound to cpu[s] 8 on host e27n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 57 ( 57/96, 3/6 ) is bound to cpu[s] 88 on host e27n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 58 ( 58/96, 4/6 ) is bound to cpu[s] 92 on host e27n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 59 ( 59/96, 5/6 ) is bound to cpu[s] 96 on host e27n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 6 ( 6/96, 0/6 ) is bound to cpu[s] 0 on host e27n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 60 ( 60/96, 0/6 ) is bound to cpu[s] 0 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 61 ( 61/96, 1/6 ) is bound to cpu[s] 4 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 62 ( 62/96, 2/6 ) is bound to cpu[s] 8 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 63 ( 63/96, 3/6 ) is bound to cpu[s] 88 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 64 ( 64/96, 4/6 ) is bound to cpu[s] 92 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 65 ( 65/96, 5/6 ) is bound to cpu[s] 96 on host e27n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 66 ( 66/96, 0/6 ) is bound to cpu[s] 0 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 67 ( 67/96, 1/6 ) is bound to cpu[s] 4 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 68 ( 68/96, 2/6 ) is bound to cpu[s] 8 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 69 ( 69/96, 3/6 ) is bound to cpu[s] 88 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 7 ( 7/96, 1/6 ) is bound to cpu[s] 4 on host e27n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 70 ( 70/96, 4/6 ) is bound to cpu[s] 92 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 71 ( 71/96, 5/6 ) is bound to cpu[s] 96 on host e27n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 72 ( 72/96, 0/6 ) is bound to cpu[s] 0 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 73 ( 73/96, 1/6 ) is bound to cpu[s] 4 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 74 ( 74/96, 2/6 ) is bound to cpu[s] 8 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 75 ( 75/96, 3/6 ) is bound to cpu[s] 88 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 76 ( 76/96, 4/6 ) is bound to cpu[s] 92 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 77 ( 77/96, 5/6 ) is bound to cpu[s] 96 on host e27n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 78 ( 78/96, 0/6 ) is bound to cpu[s] 0 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 79 ( 79/96, 1/6 ) is bound to cpu[s] 4 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 8 ( 8/96, 2/6 ) is bound to cpu[s] 8 on host e27n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 80 ( 80/96, 2/6 ) is bound to cpu[s] 8 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 81 ( 81/96, 3/6 ) is bound to cpu[s] 88 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 82 ( 82/96, 4/6 ) is bound to cpu[s] 92 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 83 ( 83/96, 5/6 ) is bound to cpu[s] 96 on host e27n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 84 ( 84/96, 0/6 ) is bound to cpu[s] 0 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 85 ( 85/96, 1/6 ) is bound to cpu[s] 4 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 86 ( 86/96, 2/6 ) is bound to cpu[s] 8 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 87 ( 87/96, 3/6 ) is bound to cpu[s] 88 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 88 ( 88/96, 4/6 ) is bound to cpu[s] 92 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 89 ( 89/96, 5/6 ) is bound to cpu[s] 96 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 9 ( 9/96, 3/6 ) is bound to cpu[s] 88 on host e27n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 90 ( 90/96, 0/6 ) is bound to cpu[s] 0 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 91 ( 91/96, 1/6 ) is bound to cpu[s] 4 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 92 ( 92/96, 2/6 ) is bound to cpu[s] 8 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 93 ( 93/96, 3/6 ) is bound to cpu[s] 88 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 94 ( 94/96, 4/6 ) is bound to cpu[s] 92 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 95 ( 95/96, 5/6 ) is bound to cpu[s] 96 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
